Expression,Lemmatized_Form,Type,Confidence,Length,Source_URL
"und fundierte","und fundierte","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Wörterbuch der","wörterbuch der","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"beruht auf","beruht auf","COLLOCATION",0,777,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Anerkennung als","anerkennung als","COLLOCATION",0,709,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zumindest als","zumindest als","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Systeme","systeme","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"knapp eine","knapp eine","COLLOCATION",0,611,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"gehören unter","gehören unter","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"über das","über das","COLLOCATION",0,564,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zweite bzw","zweit bzw","COLLOCATION",0,928,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"selbst auf","selbst auf","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"aus werden","aus werden","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"nach wurde","nach wurde","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"verfasste man","verfasst man","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"die französische","die französische","COLLOCATION",0,502,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"die für","die für","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Alltages","alltages","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"über die","über die","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Language","language","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"das Küchendeutsch","das küchendeutsch","COLLOCATION",0,664,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ortsname","ortsname","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"nach neuere","nach neuere","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Wörterbüchern wie","wörterbüchern wie","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"die personelle Mobilität","die personell mobilität","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Million (","million (","COLLOCATION",0,517,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"- Wales","- wales","COLLOCATION",0,712,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"978-3 -11-019298-","978-3 -11-019298-","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Alltags","alltags","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Unterschied zu","unterschied zu","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"an Berücksichtigung","an berücksichtigung","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"denen noch","denen noch","COLLOCATION",0,644,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zum Teil","zum teil","COLLOCATION",0,507,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Elektromotor","elektromotor","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sydslesvigdansk","sydslesvigdansk","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
": Spezial",": spezial","COLLOCATION",0,630,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Helvetismen","helvetismen","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"unter Bezeichnung","unter bezeichnung","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zu die","zu die","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Säkulum","säkulum","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zusammen mit","zusammen mit","COLLOCATION",0,688,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und Homepages","und homepages","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Digitales","digitales","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Kreises","kreises","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"de Ski","de ski","COLLOCATION",0,845,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zwischen 50","zwisch 50","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"entlang der","entlang der","COLLOCATION",0,531,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Weltraumorganisation","weltraumorganisation","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Im Zuge","im zug","COLLOCATION",0,671,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Möglichkeit","möglichkeit","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Zuwanderer","zuwanderer","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Wörter aus","wörter aus","COLLOCATION",0,528,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"unterschiedlicher Gewichtung","unterschiedlich gewichtung","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"die Zahl der","die zahl der","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Übersetzung","übersetzung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Geschlechter","geschlechter","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
": The",": the","COLLOCATION",0,520,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Vorfahren","vorfahren","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Die Verwendung","die verwendung","COLLOCATION",0,529,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"die schweizerdeutschen","die schweizerdeutschen","COLLOCATION",0,535,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"eigenständige Sprache","eigenständige sprache","COLLOCATION",0,629,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"wie sie","wi sie","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"vor wo","vor wo","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Eine Grobeinteilung","eine grobeinteilung","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprachraumes","sprachraumes","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"rund 1,5","rund 1,5","COLLOCATION",0,821,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"konnte sich","konnte sich","COLLOCATION",0,774,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Football Associations","football associations","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Kommunikation","kommunikation","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Umgangssprache sind","umgangssprach sind","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"80 %","80 %","COLLOCATION",0,745,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Langobardische Sprache","langobardische sprache","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Zuwanderung aus","zuwanderung aus","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Urteil des","urteil des","COLLOCATION",0,695,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zu Entwicklung","zu entwicklung","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Anteil an","anteil an","COLLOCATION",0,714,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Landesverwaltungsgesetzes","landesverwaltungsgesetzes","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"der südlichste","der südlichste","COLLOCATION",0,531,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"den baltischen","den baltischen","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Über der","über der","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Hinzu kommen","hinzu kommen","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"den mittel","den mittel","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Märkisch Mecklenburgisch","märkisch mecklenburgisch","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"nach ISO","nach iso","COLLOCATION",0,835,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sinn erhielt","sinn erhielt","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"B. :","b. :","COLLOCATION",0,630,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Band II","band ii","COLLOCATION",0,839,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprachwissenschaft","sprachwissenschaft","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Spezial","spezial","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Slowakei eine","slowakei eine","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Spätmittelalter","spätmittelalter","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Hochsprache","hochsprache","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Departements Alto Paraná","departements alto paraná","NAMED_ENTITY",0,850,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Zuschlag","zuschlag","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"im Internet","im internet","COLLOCATION",0,666,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Bedeutung für","bedeutung für","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"schweizerdeutschen Dialekte","schweizerdeutschen dialekte","COLLOCATION",0,904,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"über und","über und","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"slawischen und","slawisch und","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"nicht als","nicht als","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprachvarietät des","sprachvarietät des","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"der Elsässer","der elsäss","COLLOCATION",0,531,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"cultural retorna","cultural retorna","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Unabhängigkeit","unabhängigkeit","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"rund 90","rund 90","COLLOCATION",0,763,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"mit rund","mit rund","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schüler","schüler","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Aus und","aus und","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Tendenz","tendenz","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"rund 71","rund 71","COLLOCATION",0,836,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"des Standarddeutschen","des standarddeutschen","COLLOCATION",0,680,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"eine Sammelbezeichnung für","eine sammelbezeichnung für","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"weiter werden","weiter werden","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Kenntnis der","kenntnis der","COLLOCATION",0,531,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ob diese","ob diese","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ratifizierung der","ratifizierung der","COLLOCATION",0,531,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"uneinheitlich beantwortet","uneinheitlich beantwortet","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Zeitschrift","zeitschrift","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Fersental und","fersental und","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"nach einige","nach einige","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
": германски",": германски","COLLOCATION",0,572,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"nicht übereinstimmten","nicht übereinstimmten","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"weitläufig als","weitläufig als","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Audiofile","audiofile","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ihre Muttersprache","ihre muttersprache","COLLOCATION",0,772,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"do patrimônio","do patrimônio","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"der Europäischen Union","der europäisch union","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Einwohner","einwohner","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schweizerische Eidgenossenschaft","schweizerische eidgenossenschaft","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Lange Zeit","lange zeit","COLLOCATION",0,981,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schreibkundigen","schreibkundigen","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Elsass und","elsass und","COLLOCATION",0,512,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zu Gebrauchsmustereinreichung","zu gebrauchsmustereinreichung","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"heute noch","heute noch","COLLOCATION",0,635,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Internationale de","internationale de","COLLOCATION",0,803,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Einflüssen aus","einflüssen aus","COLLOCATION",0,713,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"politische Bildung","politische bildung","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"71 Prozent","71 prozent","COLLOCATION",0,868,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Wahlkampftexte","wahlkampftexte","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Einfluss auf","einfluss auf","COLLOCATION",0,696,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ein deutschdeutsches","ein deutschdeutsches","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Etymologisches Wörterbuch","etymologisches wörterbuch","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"( Germanski","( germanski","COLLOCATION",0,500,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Riviera","riviera","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ein Handbuch zur","ein handbuch zur","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"speziell um","speziell um","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Macha :","macha :","COLLOCATION",0,630,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"15 Prozent","15 prozent","COLLOCATION",0,680,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"geordnet )","geordnet )","COLLOCATION",0,501,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"gleichlautend in","gleichlautend in","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zu Deckung","zu deckung","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Wolfgang Braunfels","wolfgang braunfels","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Europäischen Union","europäisch union","COLLOCATION",0,948,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zum Beispiel","zum beispiel","COLLOCATION",0,877,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Second Language","second language","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Niederalemannisch (","niederalemannisch (","COLLOCATION",0,559,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"weiteren Sinne","weiter sinne","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Handballföderation","handballföderation","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"einem grossen","einem grossen","COLLOCATION",0,791,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Laute vor","laute vor","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Bismarck","bismarck","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"englischen Sprache","englischen sprach","COLLOCATION",0,729,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Luge de","luge de","COLLOCATION",0,845,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Basierend","basierend","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Band 2","band 2","COLLOCATION",0,745,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"deutsch war","deutsch war","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Albanisch","albanisch","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Grossherzogtums","grossherzogtums","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"4 Prozent","4 prozent","COLLOCATION",0,626,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"britischen und","britisch und","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"sondern lediglich","sondern lediglich","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Protogermanische","protogermanische","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Deutsch","deutsch","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Plautdietsch","plautdietsch","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Amtssprache","amtssprache","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"( alphabetisch","( alphabetisch","COLLOCATION",0,559,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"personelle Mobilität","personell mobilität","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sinn des","sinn des","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Union –","union –","COLLOCATION",0,538,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Fremdsprache beherrschen","fremdsprach beherrschen","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"dem Zweiten","dem zweiten","COLLOCATION",0,586,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"das sogenannte","das sogenannte","COLLOCATION",0,664,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"mit anderen","mit anderen","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Aus Zusammenhang","aus zusammenhang","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"slawischen Sprachen","slawischen sprachen","COLLOCATION",0,814,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Lautübertragung des","lautübertragung des","COLLOCATION",0,695,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"deyn weyb","deyn weyb","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"eine auf","eine auf","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"De Gruyter","de gruyter","COLLOCATION",0,845,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
""" Nordniederdeutsch",""" nordniederdeutsch","COLLOCATION",0,629,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Band I","band i","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"lokal verbreiteten","lokal verbreiteten","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Diese waren","dies waren","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"an sehr","an sehr","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Lista de","lista de","COLLOCATION",0,845,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Fachkräftewegweiser","fachkräftewegweiser","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"aus stellt","aus stellt","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"bis heute","bis heute","COLLOCATION",0,544,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Nationalsprache Tok","nationalsprach tok","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Alemannisch Niederalemannisch","alemannisch niederalemannisch","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Electricität konnte","electricität konnte","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"schweizerdeutsche Dialekte","schweizerdeutsche dialekte","COLLOCATION",0,931,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
